n=3
x0=0
m=33
79.13,395.08
87.00,395.03
87.57,394.72
100.46,394.17
104.64,393.86
106.32,394.00
108.66,393.72
113.49,393.34
118.80,392.94
120.25,393.10
123.69,392.72
127.56,392.13
127.62,392.20
132.78,391.96
137.70,391.16
137.84,391.40
142.19,390.88
145.71,390.12
146.75,390.12
152.49,389.37
152.68,389.58
157.59,388.97
159.96,388.60
161.95,388.52
167.63,387.78
172.38,387.26
177.23,386.70
181.68,386.52
198.57,385.50
205.12,385.36
210.87,385.22
215.02,385.32
219.00,385.30
